,Link,Price,Price/m2,Number of rooms,m2,Date sold,Rent,Drift cost,Number of floors,Built year,Region
2075,https://www.booli.se/annons/3087885,4780000,70294,2,68,2018-02-19,3430,606,6,1969,Solna
2076,https://www.booli.se/annons/3076431,5570000,61209,3.5,91,2018-02-23,3915,700,0,1938,Solna
2077,https://www.booli.se/annons/3072723,5450000,46186,4,118,2018-02-23,5135,595,0,1950,Solna
2078,https://www.booli.se/annons/3086680,6300000,47727,4,132,2018-02-23,5086,450,0,1909,Solna
2079,https://www.booli.se/annons/2290213,3800000,50667,3,75,2018-02-23,3905,711,5,2011,Solna
2080,https://www.booli.se/annons/3089022,4500000,54217,4,83,2018-02-21,3837,350,4,1953,Solna
2081,https://www.booli.se/annons/3021257,2850000,43846,2,65,2018-02-21,3284,251,4,1960,Solna
2082,https://www.booli.se/annons/3066453,3390000,42375,3,80,2018-02-21,4320,700,1,1969,Solna
2083,https://www.booli.se/annons/3009610,4130000,45385,4,91,2018-02-20,3383,475,5,1964,Solna
2084,https://www.booli.se/annons/3079795,2875000,61170,2,47,2018-02-16,2493,700,2,1938,Solna
2085,https://www.booli.se/annons/3051936,3995000,42957,3,93,2018-02-11,5744,822,4,1974,Solna
2086,https://www.booli.se/annons/3077783,2900000,52727,2,55,2018-02-14,2862,771,0,1938,Solna
2087,https://www.booli.se/annons/3081578,3180000,39750,3,80,2018-02-14,4365,400,1,1965,Solna
2088,https://www.booli.se/annons/3083718,2830000,62889,1.5,45,2018-02-14,1646,280,2,1946,Solna
2089,https://www.booli.se/annons/3026991,3295000,56810,2,58,2018-02-13,2409,243,8,2014,Solna
2090,https://www.booli.se/annons/3055616,11000000,90164,4,122,2018-02-13,6063,675,21,2014,Solna
2091,https://www.booli.se/annons/3079402,2495000,45612,2,55,2018-02-12,2644,354,1,1956,Solna
2092,https://www.booli.se/annons/3066965,2130000,42600,2,50,2018-02-09,2470,430,0,1973,Solna
2093,https://www.booli.se/annons/3044947,7350000,47115,6.5,156,2018-02-09,6481,507,8,2015,Solna
2094,https://www.booli.se/annons/3032803,3100000,52542,2,59,2018-02-11,3047,235,11,1958,Solna
2095,https://www.booli.se/annons/2396158,4000000,55556,3,72,2018-02-09,3718,333,3,1952,Solna
2096,https://www.booli.se/annons/2379280,5350000,60795,3,88,2018-02-08,4849,600,2,2009,Solna
2097,https://www.booli.se/annons/3082964,2595000,43250,2,60,2018-02-05,3349,758,2,2014,Solna
2098,https://www.booli.se/annons/2416295,4250000,45699,4,93,2018-02-03,4900,721,3,2016,Solna
2099,https://www.booli.se/annons/3066017,2595000,58977,2,44,2018-01-30,2695,544,0,2011,Solna
2100,https://www.booli.se/annons/3039292,6495000,51960,5,125,2018-02-01,5193,530,8,2015,Solna
2101,https://www.booli.se/annons/3044150,2150000,71667,1,30,2018-01-31,2024,325,1,2015,Solna
2102,https://www.booli.se/annons/3073950,2110000,60286,1,35,2018-01-30,2090,100,1,1946,Solna
2103,https://www.booli.se/annons/3035100,3200000,48485,2,66,2018-01-30,3978,308,1,2015,Solna
2104,https://www.booli.se/annons/3070219,5375000,60393,4,89,2018-01-29,4019,508,3,1990,Solna
2105,https://www.booli.se/annons/3069035,2600000,41600,2,63,2018-01-26,3110,440,2,1960,Solna
2106,https://www.booli.se/annons/3068222,2315000,42555,1,54,2018-01-25,1822,400,1,1966,Solna
2107,https://www.booli.se/annons/3067420,3610000,52319,3,69,2018-01-25,3446,400,2,1955,Solna
2108,https://www.booli.se/annons/3010833,2900000,64444,2,45,2018-01-25,2850,225,13,2014,Solna
2109,https://www.booli.se/annons/3064670,2200000,55000,1.5,40,2018-01-25,2609,250,1,1939,Solna
2110,https://www.booli.se/annons/3064310,3800000,50331,3,76,2018-01-24,2679,417,0,1960,Solna
2111,https://www.booli.se/annons/2411816,3050000,50413,2,61,2018-01-23,2476,171,2,1971,Solna
2112,https://www.booli.se/annons/3063267,2200000,64706,1,34,2018-01-23,2150,280,2,1972,Solna
2113,https://www.booli.se/annons/3052573,2280000,81429,1,28,2018-01-22,2236,460,1,1951,Solna
2114,https://www.booli.se/annons/3034024,3500000,48276,3,73,2018-01-20,4228,655,2,1999,Solna
2115,https://www.booli.se/annons/3030772,3525000,48958,3,72,2018-01-19,3879,675,3,2014,Solna
2116,https://www.booli.se/annons/3036196,2510000,44112,2,57,2018-01-18,2359,350,11,1971,Solna
2117,https://www.booli.se/annons/3069217,2550000,63750,2,40,2018-01-18,2193,627,3,2009,Solna
2118,https://www.booli.se/annons/3060112,3400000,45333,4,75,2018-01-18,3562,708,2,1954,Solna
2119,https://www.booli.se/annons/2379378,5600000,71795,3,78,2018-01-16,3645,350,10,1969,Solna
2120,https://www.booli.se/annons/3013572,2630000,68312,2,39,2018-01-14,2489,258,5,1956,Solna
2121,https://www.booli.se/annons/3010460,2960000,51930,2,57,2018-01-08,1544,450,3,1957,Solna
2122,https://www.booli.se/annons/3026053,3800000,45783,3,83,2017-12-26,4045,393,2,1967,Solna
2123,https://www.booli.se/annons/3030973,6050000,65054,4,93,2017-12-19,4917,500,4,2016,Solna
2124,https://www.booli.se/annons/3040131,2740000,47241,2,58,2017-12-16,2318,500,4,1952,Solna
2125,https://www.booli.se/annons/3017449,3350000,39551,3,85,2017-12-15,5110,510,2,1998,Solna
2126,https://www.booli.se/annons/3038897,5195000,56467,4,92,2017-12-15,5285,500,1,2006,Solna
2127,https://www.booli.se/annons/2407697,2900000,44615,2,65,2017-12-15,3381,647,4,1951,Solna
2128,https://www.booli.se/annons/3046977,2500000,43937,2,57,2017-12-12,2357,441,9,1971,Solna
2129,https://www.booli.se/annons/2386065,2995000,57596,2,52,2017-12-11,3407,240,1,2007,Solna
2130,https://www.booli.se/annons/3040827,2650000,60920,2,44,2017-12-04,2538,300,0,2016,Solna
2131,https://www.booli.se/annons/3035198,4000000,57143,3,70,2017-12-08,3725,1857,2,2012,Solna
